cnpj,cvm_code,root,company,trading_name,ticker
07.047.251/0001-70,14869,COCE,CIA ENERGETICA DO CEARA - COELCE,COELCE,COCE5
02.800.026/0001-40,17973,COGN,COGNA EDUCAÇÃO S.A.,COGNA ON,COGN3
61.856.571/0001-17,15636,CGAS,CIA GAS DE SAO PAULO - COMGAS,COMGAS,CGAS3
61.856.571/0001-17,15636,CGAS,CIA GAS DE SAO PAULO - COMGAS,COMGAS,CGAS5
21.389.501/0001-81,25127,PASS,COMPASS GAS E ENERGIA S.A.,COMPASS,PASS3
61.022.042/0001-18,4723,CALI,CONSTRUTORA ADOLPHO LINDENBERG S.A.,CONST A LIND,CALI3
17.281.106/0001-03,19445,CSMG,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,COPASA,CSMG3
76.483.817/0001-20,14311,CPLE,CIA PARANAENSE DE ENERGIA - COPEL,COPEL,CPLE3
50.746.577/0001-15,19836,CSAN,COSAN S.A.,COSAN,CSAN3
02.429.144/0001-93,18660,CPFE,CPFL ENERGIA S.A.,CPFL ENERGIA,CPFE3
15.115.504/0001-24,11398,CRPG,TRONOX PIGMENTOS DO BRASIL S.A.,CRISTAL,CRPG3
15.115.504/0001-24,11398,CRPG,TRONOX PIGMENTOS DO BRASIL S.A.,CRISTAL,CRPG5
15.115.504/0001-24,11398,CRPG,TRONOX PIGMENTOS DO BRASIL S.A.,CRISTAL,CRPG6
62.984.091/0001-02,25526,CSED,CRUZEIRO DO SUL EDUCACIONAL S.A.,CRUZEIRO EDU,CSED3
08.902.291/0001-15,25585,CMIN,CSN MINERAÇÃO S.A.,CSNMINERACAO,CMIN3
01.896.779/0001-38,20044,CSUD,CSU DIGITAL S.A.,CSU DIGITAL,CSUD3
08.797.760/0001-83,25100,CURY,CURY CONSTRUTORA E INCORPORADORA S.A.,CURY S/A,CURY3
10.760.260/0001-19,23310,CVCB,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,CVC BRASIL,CVCB3
73.178.600/0001-18,14460,CYRE,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRELA REALT,CYRE3
73.178.600/0001-18,14460,CYRE,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRELA REALT,CYRE4
12.108.897/0001-50,25046,DMVF,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,D1000VFARMA,DMVF3
61.486.650/0001-83,19623,DASA,DIAGNOSTICOS DA AMERICA S.A.,DASA,DASA3
08.170.849/0001-15,26026,DESK,DESKTOP S.A.,DESKTOP,DESK3
97.837.181/0001-47,21091,DXCO,DEXCO S.A.,DEXCO,DXCO3
02.193.750/0001-52,16632,DEXP,DEXXOS PARTICIPACOES S.A.,DEXXOS PAR,DEXP3
02.193.750/0001-52,16632,DEXP,DEXXOS PARTICIPACOES S.A.,DEXXOS PAR,DEXP4
92.665.611/0001-77,9342,PNVL,DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,DIMED,PNVL3
16.614.075/0001-00,21350,DIRR,DIRECIONAL ENGENHARIA S.A.,DIRECIONAL,DIRR3
84.683.408/0001-03,5207,DOHL,DOHLER S.A.,DOHLER,DOHL3
84.683.408/0001-03,5207,DOHL,DOHLER S.A.,DOHLER,DOHL4
18.174.270/0001-84,25836,DOTZ,DOTZ S.A.,DOTZ SA,DOTZ3
03.303.999/0001-36,18597,DTCY,DTCOM - DIRECT TO COMPANY S.A.,DTCOM-DIRECT,DTCY3
26.345.998/0001-50,26077,ECOM,ECONOMATICA S.A.,ECONOMATICA,ECOM3
04.149.454/0001-80,19453,ECOR,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,ECORODOVIAS,ECOR3
02.328.280/0001-97,17485,EKTR,ELEKTRO REDES S.A.,ELEKTRO,EKTR3
02.328.280/0001-97,17485,EKTR,ELEKTRO REDES S.A.,ELEKTRO,EKTR4
02.302.101/0001-42,16993,EMAE,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,EMAE,EMAE4
42.331.462/0001-31,15458,EPAR,EMBPAR PARTICIPACOES S.A.,EMBPAR S/A,EPAR3
07.689.002/0001-89,20087,EMBJ,EMBRAER S.A.,EMBRAER,EMBJ3
00.864.214/0001-06,15253,ENGI,ENERGISA S.A.,ENERGISA,ENGI11
00.864.214/0001-06,15253,ENGI,ENERGISA S.A.,ENERGISA,ENGI3
00.864.214/0001-06,15253,ENGI,ENERGISA S.A.,ENERGISA,ENGI4
03.467.321/0001-99,14605,ENMT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,ENERGISA MT,ENMT3
03.467.321/0001-99,14605,ENMT,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,ENERGISA MT,ENMT4
04.423.567/0001-21,21237,ENEV,ENEVA S.A,ENEVA,ENEV3
02.474.103/0001-19,17329,EGIE,ENGIE BRASIL ENERGIA S.A.,ENGIE BRASIL,EGIE3
16.922.038/0001-51,25259,ENJU,ENJOEI S.A.,ENJOEI,ENJU3
04.895.728/0001-80,18309,EQPA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQTL PARA,EQPA3
04.895.728/0001-80,18309,EQPA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQTL PARA,EQPA5
04.895.728/0001-80,18309,EQPA,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,EQTL PARA,EQPA7
03.220.438/0001-73,20010,EQTL,EQUATORIAL S.A.,EQUATORIAL,EQTL3
26.659.061/0001-59,25445,ESPA,MPM CORPÓREOS S.A.,ESPACOLASER,ESPA3
60.537.263/0001-66,24953,ALPK,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A,ESTAPAR,ALPK3
61.082.004/0001-50,8427,ESTR,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,ESTRELA,ESTR3
61.082.004/0001-50,8427,ESTR,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,ESTRELA,ESTR4
61.092.037/0001-81,5762,ETER,ETERNIT S.A.,ETERNIT,ETER3
56.643.018/0001-66,5770,EUCA,EUCATEX S.A. INDUSTRIA E COMERCIO,EUCATEX,EUCA3
56.643.018/0001-66,5770,EUCA,EUCATEX S.A. INDUSTRIA E COMERCIO,EUCATEX,EUCA4
43.470.988/0001-65,20524,EVEN,EVEN CONSTRUTORA E INCORPORADORA S.A.,EVEN,EVEN3
95.426.862/0001-97,1570,BAUH,EXCELSIOR ALIMENTOS S.A.,EXCELSIOR,BAUH4
08.312.229/0001-73,20770,EZTC,EZ TEC EMPREEND. E PARTICIPACOES S.A.,EZTEC,EZTC3
22.266.175/0001-88,20621,FHER,FERTILIZANTES HERINGER S.A.,FER HERINGER,FHER3
15.141.799/0001-03,3069,FESA,CIA FERRO LIGAS DA BAHIA - FERBASA,FERBASA,FESA3
15.141.799/0001-03,3069,FESA,CIA FERRO LIGAS DA BAHIA - FERBASA,FERBASA,FESA4
07.820.907/0001-46,20630,FIEI,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A,FICA,FIEI3
00.359.742/0001-08,15423,FICT,FICTOR ALIMENTOS S.A,FICTORALIMEN,FICT3
60.840.055/0001-31,21881,FLRY,FLEURY S.A.,FLEURY,FLRY3
88.610.126/0001-29,6211,FRAS,FRASLE MOBILITY S.A.,FRAS-LE,FRAS3
01.545.826/0001-07,16101,GFSA,GAFISA S.A.,GAFISA,GFSA3
08.764.621/0001-53,21008,GSHP,GENERAL SHOPPING E OUTLETS DO BRASIL S.A.,GENERALSHOPP,GSHP3
02.998.301/0001-81,18368,GEPA,RIO PARANAPANEMA ENERGIA S.A.,GER PARANAP,GEPA3
02.998.301/0001-81,18368,GEPA,RIO PARANAPANEMA ENERGIA S.A.,GER PARANAP,GEPA4
33.611.500/0001-19,3980,GGBR,GERDAU S.A.,GERDAU,GGBR3
33.611.500/0001-19,3980,GGBR,GERDAU S.A.,GERDAU,GGBR4
92.690.783/0001-09,8656,GOAU,METALURGICA GERDAU S.A.,GERDAU MET,GOAU3
92.690.783/0001-09,8656,GOAU,METALURGICA GERDAU S.A.,GERDAU MET,GOAU4
09.229.201/0001-30,25712,GGPS,GPS PARTICIPACOES E EMPREENDIMENTOS S.A.,GPS,GGPS3
81.616.807/0001-55,27219,EGGY,GRANJA FARIA S.A.,GRANJA FARIA,EGGY3
92.012.467/0001-70,4537,CGRA,GRAZZIOTIN S.A.,GRAZZIOTIN,CGRA3
92.012.467/0001-70,4537,CGRA,GRAZZIOTIN S.A.,GRAZZIOTIN,CGRA4
89.850.341/0001-60,19615,GRND,GRENDENE S.A.,GRENDENE,GRND3
24.990.777/0001-09,25186,GMAT,GRUPO MATEUS S.A.,GRUPO MATEUS,GMAT3
13.217.485/0001-11,24694,SBFG,GRUPO SBF SA,GRUPO SBF,SBFG3
31.553.627/0001-01,25461,TOKY,GRUPO TOKY S.A.,GRUPO TOKY,TOKY3
87.762.563/0001-03,3298,HBTS,CIA HABITASUL DE PARTICIPACOES,HABITASUL,HBTS5
30.540.991/0001-66,13366,HAGA,HAGA S.A. INDUSTRIA E COMERCIO,HAGA S/A,HAGA3
30.540.991/0001-66,13366,HAGA,HAGA S.A. INDUSTRIA E COMERCIO,HAGA S/A,HAGA4
05.197.443/0001-38,24392,HAPV,HAPVIDA PARTICIPACOES E INVESTIMENTOS SA,HAPVIDA,HAPV3
14.785.152/0001-51,25402,HBRE,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS S/A,HBR REALTY,HBRE3
